,roomHeight,roomWidth,barrier,barrierRadius,barrierPos,doorWidth,numAgents,agentMass,desiredSpeed,escapeTime
73,20.0,10.0,,,,1.5,400.0,80.0,7.0,6000.0
74,20.0,10.0,,,,2.121320343559643,400.0,80.0,3.0,6000.0
75,20.0,10.0,,,,2.121320343559643,400.0,80.0,3.707792751067341,6000.0
76,20.0,10.0,,,,2.121320343559643,400.0,80.0,4.58257569495584,4675.0
77,20.0,10.0,,,,2.121320343559643,400.0,80.0,5.663746980991548,3792.0
78,20.0,10.0,,,,2.121320343559643,400.0,80.0,7.0,3329.0
79,20.0,10.0,,,,3.0,400.0,80.0,3.0,3377.0
80,20.0,10.0,,,,3.0,400.0,80.0,3.707792751067341,2911.0
81,20.0,10.0,,,,3.0,400.0,80.0,4.58257569495584,2352.0
82,20.0,10.0,,,,3.0,400.0,80.0,5.663746980991548,2046.0
83,20.0,10.0,,,,3.0,400.0,80.0,7.0,1746.0
